(['respectively', 'banks', 'reviewed', 'economist'], 'reviewed')
(['lifestyles', 'offer', 'transport', 'strengthen'], 'strengthen')
(['budget', 'precautions', 'publication', 'contained'], 'budget')
(['europe', 'professor', 'pakistan', 'within'], 'within')
(['deworming', 'part', 'women', 'adolescent'], 'part')
(['achieving', 'priorities', 'tool', 'benefits'], 'tool')
(['society', 'draft', 'technological', 'communications'], 'draft')
(['sea', 'encounters', 'components', 'earlier'], 'components')
(['shared', 'actual', 'causes', 'divergences'], 'shared')
(['create', 'aids', 'option', 'timeframe'], 'aids')
(['toolbox', 'consequently', 'should', 'sometimes'], 'should')
(['templates', 'than', 'reimbursement', 'procedures'], 'than')
(['function', 'animals', 'treated', 'detected'], 'function')
(['paho', 'constraints', 'estimate', 'estimating'], 'paho')
(['think', 'developed', 'forecast', 'creates'], 'developed')
(['timeframe', 'represented', 'resolutions', 'chikungunya'], 'timeframe')
(['transport', 'structure', 'faced', 'lifestyles'], 'structure')
(['mycetoma', 'ipc', 'acute', 'sector'], 'sector')
(['governance', 'amidst', 'recovery', 'mitigating'], 'governance')
(['computing', 'connectivity', 'along', 'deploy'], 'along')
(['ncds', 'definition', 'infections', 'cysticercosis'], 'definition')
(['culture', 'driver', 'sites', 'foster'], 'sites')
(['london', 'death', 'outcome', 'uniting'], 'outcome')
(['sectoral', 'cross', 'edge', 'infrastructure'], 'infrastructure')
(['refined', 'loss', 'consequently', 'substantially'], 'refined')
(['costa', 'identification', 'villagereach', 'economist'], 'identification')
(['indicators', 'outcome', 'hiv', 'indicator'], 'hiv')
(['requirementsde', 'owning', 'ould', 'guided'], 'ould')
(['kind', 'promote', 'warranty', 'aterial'], 'promote')
(['ensures', 'reasons', 'failed', 'pilots'], 'ensures')
(['islamic', 'territories', 'system', 'reported'], 'system')
(['alerts', 'behaviour', 'parameters', 'three'], 'three')
(['primary', 'disputes', 'igo', 'mediation'], 'primary')
(['ida', 'software', 'round', 'passed'], 'software')
(['crisis', 'disruptions', 'define', 'proportion'], 'define')
(['november', 'vol', 'news', 'tangible'], 'tangible')
(['chad', 'cote', 'scale', 'guatemala'], 'scale')
(['piri', 'value', 'mass', 'periodic'], 'value')
(['internet', 'achievement', 'achieving', 'priorities'], 'internet')
(['vpd', 'aefi', 'intended', 'detection'], 'intended')
(['text', 'calls', 'images', 'response'], 'response')
(['refining', 'plandevelop', 'apply', 'vulnerable'], 'vulnerable')
(['economist', 'malecela', 'switzerland', 'delivering'], 'delivering')
(['function', 'lifestyles', 'faced', 'transport'], 'function')
(['news', 'operate', 'john', 'november'], 'operate')
